ID,Ime,Drzava,Datum_ustanovitve,Opis
384,F&C,Japan,1987,Known as Ides until 1997; published games under the FairyTale and Cocktail Soft labels until then.
385,F4,France,2002,
386,FASA,United States,1980,Ended video game development and publishing 2012
387,FASA Studio,United States,1994,defunct in 2007
388,FTL Games,United States,1982,Closed in 1982
389,FUN Labs,Romania,1999,
390,Fabtek,United States,1987,Defunct in 1999.
391,Facepunch Studios,United Kingdom,2009,
392,Fairchild Semiconductor,United States,1957,"Initially a division of Fairchild Camera and Instrument. Acquired by Schlumberger in 1979, then by National Semiconductor in 1987; regained independence in 1997; acquired by ON Semiconductor in 2016."
393,Family Soft,Japan,1987,
394,Fandom,,2004,
395,Fantasy Software,UK,1983,Defunct in 1985.
396,FarSight Studios,United States,1989,
397,Faster Than Light,UK,1986,Label of Gargoyle Games. Defunct in 1989.
398,Fathammer,Finland,2002,Acquired by Telcogames in 2006.
399,Fatshark,Sweden,2008,Subsidiary of Tencent
400,Felistella,Japan,2010,
401,Feral Interactive,UK,1999,Publishes Macintosh and Linux games
402,Fill-in-Cafe,Japan,1987,Known as Team Cross Wonder until 1989. Defunct in 1998.
403,Firaxis Games,United States,1996,Subsidiary of 2K Games; founded by former employees of MicroProse.
404,Firebird Software,UK,1983,Defunct in 1989 upon MicroProse's acquisition of Telecomsoft.
405,Firefly Studios,United Kingdom,1999,
406,Firesprite,United Kingdom,2012,Formed by former employees of Studio Liverpool
407,First Star Software,United States,1982,Defunct in 2018. Their name and assets were acquired by BBG Entertainment
408,Fisher Price,United States,1930,Acquired by Mattel in 1993. No longer publishes video games.
409,Fishtank Interactive,Germany,2000,Publishing Label of Ravensburger Interactive. Acquired alongside parent by JoWooD Productions in 2002.
410,Flagship Studios,United States,2003,Closed down in 2008
411,Flair Software,UK,1990,Last game published in 1999.
412,Flight-Plan,Japan,1989,Defunct in 2010
413,Flying Edge,United States,1992,Label of Acclaim Entertainment. Defunct in 1994.
414,Flying Wild Hog,Poland,2009,Acquired by Embracer Group in 2020.[18]
415,Focus Home Interactive,France,1996,
416,Focus Multimedia,UK,1995,
417,FormGen,United States,1987,Acquired by GT Interactive in 1996.
418,Foundation 9 Entertainment,United States,1992,Dissolved in 2016
419,Fox Digital Entertainment,United States,2002,"Subsidiary of 20th Century Studios. The company still exists, but 20th Century Fox's video game business was rearranged to FoxNext."
420,Fox Interactive,United States,1982,Also a video game developer. Acquired by Activision Blizzard.
421,FoxNext,United States,2017,Division of 20th Century Studios. The company still exists but their game development studios were acquired by Scopely in 2020.[19]
422,Freeverse Software,United States,1994,Acquired by Ngmoco in 2010.
423,French Bread,Japan,1998,Formerly known as Watanabe Seisakusho.
424,Frictional Games,Sweden,2001,
425,Froggo,California,1987,Defunct in 1989.
426,Frogwares,Ukraine,2000,
427,FromSoftware,Japan,1986,Subsidiary of Kadokawa Corporation
428,Front Wing,Japan,2000,
429,Frontier Developments,United Kingdom,1994,
430,Frozenbyte,Finland,2001,
431,FuRyu,Japan,2007,
432,Fujisankei Communications International,United States,1986,No longer publishes video games
433,Fujitsu,Japan,1935,No longer publishes video games.
434,Full On Games,Japan,1996,Also known as FOG.
